Time,open,high,low,close,volume,pivot
2021-11-12,146.7570743559723,148.70487086935412,145.8177816210927,148.299491899564,63245197,-1
2021-11-15,148.67520899351572,150.16819007737692,147.74580355058228,148.30937919151,59222803,1
2021-11-16,148.25005543983332,149.7806082330897,147.65681792306728,149.29810838612,59256210,-1
2021-11-17,149.2931647401469,153.2530251645602,149.28822109417385,151.760044080699,88807000,0
2021-11-18,151.97756450351312,156.88166130877903,151.32500323507048,156.090677953091,137827673,0
2021-11-19,155.8731575302768,159.20517491611272,154.76854927405844,158.740472194646,117305597,0
2021-11-22,159.85773618455565,163.83242754688808,159.18540033222078,159.205174916113,117467889,1
2021-11-23,159.30404783557407,159.97638368790894,157.2673645675968,159.590779302011,96041899,-1
2021-11-24,158.93821803356803,160.312551614076,157.84072862755085,160.114805775154,69463623,1
2021-11-26,157.76657393795574,158.64159927518563,154.59769686923048,155.042625006805,76959752,-1
2021-11-29,157.57377174500624,159.37325887919656,157.00040768505184,158.433966144317,88748217,0
2021-11-30,158.1818401996915,163.65445629185822,158.11757280204182,163.436935869044,174048056,0
2021-12-01,165.59236551329428,168.3805818420947,162.67561438919458,162.912909395901,152423003,1
2021-12-02,156.94592870642845,162.34933375497243,156.02146690946805,161.914292909344,136739174,-1
2021-12-03,162.17136249994294,163.10076794287642,157.91982696311965,160.015932855693,118023116,0
2021-12-06,162.43831938248763,165.9877583182183,162.42843209054155,163.456710452936,107496982,0
2021-12-07,167.17433222466985,169.64615521119504,166.4426726206584,169.250663533351,120405352,0
2021-12-08,170.18501262225726,173.97678908358685,168.7760735199379,173.10670739233,116998901,0
2021-12-09,172.93862342924652,174.75788514732903,171.95978152658253,172.592568211133,108923739,0
2021-12-10,173.2302985416563,177.60542522780582,172.72110300643212,177.427453972776,115402731,0
2021-12-13,179.0736880818021,180.0772482143313,173.55163552990487,173.759268660773,153237019,1
